StockCode,Description,UnitPrice_median,TotalQty,Supplier,CostPrice,LeadTimeDays,Category,SupplierClean,CategoryClean
22161,HEART DECORATION RUSTIC HANGING,0.79,5064,Pacific Importers,0.5746365763931464,25.0,Kitchen,Pacific Importers,Kitchen
22162,HEART GARLAND RUSTIC PADDED,3.29,151,Pacific Importers,2.181263950137295,35.0,home decor,Pacific Importers,Home Decor
22163,HEART STRING MEMO HOLDER HANGING,1.63,760,Pacific Importers,1.1890312710849271,40.0,home decor,Pacific Importers,Home Decor
22164,STRING OF STARS CARD HOLDER,2.95,-2,Acme Supplies Ltd,1.8786072936429632,16.0,Lighting,Acme Supplies Ltd,Lighting
22165,"DIAMANTE HEART SHAPED WALL MIRROR,",10.79,414,,5.688394949195836,19.0,Unknown,UNKNOWN,Other
22166,WALL MIRROR RECTANGLE DIAMANTE PINK,15.79,204,acme-supplies,11.50085824995788,21.0,LIGHTING,Acme Supplies Ltd,Lighting
22167,OVAL WALL MIRROR DIAMANTE,9.95,233,Acme Supplies Ltd,4.939661298496714,35.0,LIGHTING,Acme Supplies Ltd,Lighting
22168,ORGANISER WOOD ANTIQUE WHITE,8.5,117,,4.388213253133654,3.0,Lighting,UNKNOWN,Lighting
22169,FAMILY ALBUM WHITE PICTURE FRAME,8.5,1166,Unknown Vendor,5.484905043555178,15.0,Kitchen,UNKNOWN,Kitchen
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,6.75,1049,,4.5080597576287245,29.0,Lighting,UNKNOWN,Lighting
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,8.5,1858,Euro Parts,6.164975364451233,8.0,home decor,EuroParts GmbH,Home Decor
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,2.95,2320,PACIFIC IMPORTERS LLC,1.3914584873505365,8.0,Unknown,Pacific Importers,Other
22174,PHOTO CUBE,1.65,3239,Pacific Importers,1.1208438653391015,35.0,Home Decor,Pacific Importers,Home Decor
22175,PINK OWL SOFT TOY,2.95,877,Acme Supplies Ltd,1.9425488001323648,32.0,Unknown,Acme Supplies Ltd,Other
22176,BLUE OWL SOFT TOY,2.95,484,Global Trade Co.,1.2458678793318398,37.0,Unknown,GlobalTrade Co,Other
22178,VICTORIAN GLASS HANGING T-LIGHT,1.25,23854,GlobalTrade Co,0.6694101242794657,25.0,Gifts,GlobalTrade Co,Gifts
22179,SET 10 LIGHTS NIGHT OWL,6.75,938,acme-supplies,3.368033392304483,12.0,Home Decor,Acme Supplies Ltd,Home Decor
22180,RETROSPOT LAMP,9.95,300,EuroParts GmbH,5.040387902812911,21.0,Home Decor,EuroParts GmbH,Home Decor
22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,0.85,472,Pacific Importers,0.6324266966675234,30.0,Home Decor,Pacific Importers,Home Decor
22182,CAKE STAND VICTORIAN FILIGREE SMALL,4.13,371,Acme Supplies Ltd,2.581134751185236,25.0,Unknown,Acme Supplies Ltd,Other
22183,CAKE STAND VICTORIAN FILIGREE MED,5.79,320,ACME SUPPLIES,3.770370733768527,6.0,Kitchen,Acme Supplies Ltd,Kitchen
22184,CAKE STAND VICTORIAN FILIGREE LARGE,8.47,41,EuroParts GmbH,6.283182985820345,22.0,Home Decor,EuroParts GmbH,Home Decor
22185,SLATE TILE NATURAL HANGING,1.65,1510,Acme Supplies Ltd,0.8778340293692863,21.0,Stationery,Acme Supplies Ltd,Stationery
22186,RED STAR CARD HOLDER,1.95,795,,1.3272559149690402,44.0,Lighting,UNKNOWN,Lighting
22187,GREEN CHRISTMAS TREE CARD HOLDER,1.95,1262,Pacific Importers,1.076567382455318,29.0,Kitchen,Pacific Importers,Kitchen
22188,BLACK HEART CARD HOLDER,3.95,4870,Pacific Importers,2.7821303012842096,36.0,Stationery,Pacific Importers,Stationery
22189,CREAM HEART CARD HOLDER,3.95,8283,Pacific Importers,1.8297590508628767,6.0,Unknown,Pacific Importers,Other
22190,LOCAL CAFE MUG,2.46,676,Euro Parts,1.7999577984523445,40.0,Unknown,EuroParts GmbH,Other
22191,IVORY DINER WALL CLOCK,8.5,1108,GlobalTrade Co,4.050845832522367,9.0,Stationery,GlobalTrade Co,Stationery
22192,BLUE DINER WALL CLOCK,8.5,924,EuroParts GmbH,4.370506008268271,9.0,Gifts,EuroParts GmbH,Gifts
22193,RED DINER WALL CLOCK,8.5,1379,Pacific Importers,5.649671896467671,28.0,Gifts,Pacific Importers,Gifts
22194,BLACK DINER WALL CLOCK,8.5,53,acme-supplies,4.571421546157086,28.0,Stationery,Acme Supplies Ltd,Stationery
22195,LARGE HEART MEASURING SPOONS,1.65,1978,,1.011242070082623,21.0,LIGHTING,UNKNOWN,Lighting
22196,SMALL HEART MEASURING SPOONS,0.85,2824,Euro Parts,0.472260616568155,11.0,Gifts,EuroParts GmbH,Gifts
22197,SMALL POPCORN HOLDER,0.85,56450,PACIFIC IMPORTERS LLC,0.5608550562842101,22.0,Lighting,Pacific Importers,Lighting
22198,LARGE POPCORN HOLDER,1.65,873,,0.7918612982428728,44.0,Lighting,UNKNOWN,Lighting
22199,FRYING PAN RED RETROSPOT,4.25,460,,1.7869562560148546,18.0,LIGHTING,UNKNOWN,Lighting
22200,FRYING PAN PINK POLKADOT,4.25,394,EuroParts GmbH,2.1461449787411864,19.0,Unknown,EuroParts GmbH,Other
22201,FRYING PAN BLUE POLKADOT,4.25,192,Euro Parts,2.40553413899179,24.0,Gifts,EuroParts GmbH,Gifts
22202,MILK PAN PINK POLKADOT,3.75,-49,EuroParts GmbH,1.7205263185028907,15.0,LIGHTING,EuroParts GmbH,Lighting
22203,MILK PAN RED RETROSPOT,3.75,402,EuroParts GmbH,1.9656714426740105,14.0,Home Decor,EuroParts GmbH,Home Decor
22204,MILK PAN BLUE POLKADOT,3.36,192,PACIFIC IMPORTERS LLC,1.8143800295132368,12.0,LIGHTING,Pacific Importers,Lighting
22206,"MUG , DOTCOMGIFTSHOP.COM",0.83,5,EuroParts GmbH,0.3486723305914435,3.0,Stationery,EuroParts GmbH,Stationery
22207,FRYING PAN UNION FLAG,4.25,1259,ACME SUPPLIES,2.5676695316740044,34.0,Lighting,Acme Supplies Ltd,Lighting
22208,WOOD STAMP SET THANK YOU,0.83,1502,,0.588901765825659,32.0,LIGHTING,UNKNOWN,Lighting
22209,WOOD STAMP SET HAPPY BIRTHDAY,0.83,938,,0.3760813162128617,10.0,home decor,UNKNOWN,Home Decor
22210,WOOD STAMP SET BEST WISHES,0.83,1019,Acme Supplies Ltd,0.5056632278931399,23.0,Gifts,Acme Supplies Ltd,Gifts
22211,WOOD STAMP SET FLOWERS,0.83,961,Euro Parts,0.5251067390266009,24.0,home decor,EuroParts GmbH,Home Decor
22212,FOUR HOOK  WHITE LOVEBIRDS,2.1,1591,Acme Supplies Ltd,1.148210990108177,20.0,Gifts,Acme Supplies Ltd,Gifts
22214,CANDLE PLATE LACE WHITE,2.55,193,GlobalTrade Co,1.6457295967226109,4.0,LIGHTING,GlobalTrade Co,Lighting
22215,CAKE STAND WHITE TWO TIER LACE,8.5,341,EuroParts GmbH,4.621926341885761,11.0,LIGHTING,EuroParts GmbH,Lighting
22216,T-LIGHT HOLDER WHITE LACE,0.85,588,ACME SUPPLIES,0.4901295931732868,5.0,Lighting,Acme Supplies Ltd,Lighting
22217,T-LIGHT HOLDER HANGING LACE,1.25,645,Euro Parts,0.5032169569925617,28.0,Lighting,EuroParts GmbH,Lighting
22218,CAKE STAND LACE WHITE,2.125,3,Euro Parts,1.3644668348876747,23.0,LIGHTING,EuroParts GmbH,Lighting
22219,LOVEBIRD HANGING DECORATION WHITE,0.85,3562,Pacific Importers,0.5367494469860555,32.0,Home Decor,Pacific Importers,Home Decor
22220,CAKE STAND LOVEBIRD 2 TIER WHITE,9.95,210,Acme Supplies Ltd,4.113731055288995,30.0,Gifts,Acme Supplies Ltd,Gifts
22221,CAKE STAND LOVEBIRD 2 TIER PINK,9.95,129,GlobalTrade Co,5.262430999003551,38.0,LIGHTING,GlobalTrade Co,Lighting
22222,CAKE PLATE LOVEBIRD WHITE,4.95,1057,PACIFIC IMPORTERS LLC,3.676172664171564,28.0,Gifts,Pacific Importers,Gifts
22223,CAKE PLATE LOVEBIRD PINK,4.95,441,Unknown Vendor,2.708926094650129,36.0,Kitchen,UNKNOWN,Kitchen
22224,WHITE LOVEBIRD LANTERN,2.95,831,PACIFIC IMPORTERS LLC,1.698258630798627,10.0,Unknown,Pacific Importers,Other
22227,HANGING HEART MIRROR DECORATION,0.65,2339,acme-supplies,0.4670091109813359,23.0,Home Decor,Acme Supplies Ltd,Home Decor
22228,BUNNY WOODEN PAINTED WITH BIRD,0.85,999,PACIFIC IMPORTERS LLC,0.5533854080700625,16.0,Lighting,Pacific Importers,Lighting
22229,BUNNY WOODEN PAINTED WITH FLOWER,0.85,566,Pacific Importers,0.5131658640094565,42.0,home decor,Pacific Importers,Home Decor
22230,JIGSAW TREE WITH WATERING CAN,0.83,1032,Euro Parts,0.5637622599295815,17.0,Lighting,EuroParts GmbH,Lighting
22231,JIGSAW TREE WITH BIRDHOUSE,1.25,931,Acme Supplies Ltd,0.8781602415744882,19.0,Stationery,Acme Supplies Ltd,Stationery
22232,JIGSAW TOADSTOOLS 3 PIECE,0.59,626,EuroParts GmbH,0.3303473868137455,20.0,Unknown,EuroParts GmbH,Other
22233,JIGSAW RABBIT AND BIRDHOUSE,1.25,576,Pacific Importers,0.7078599096576779,34.0,Lighting,Pacific Importers,Lighting
22236,CAKE STAND 3 TIER MAGIC GARDEN,12.75,263,Unknown Vendor,6.822752300346317,40.0,Gifts,UNKNOWN,Gifts
22241,GARLAND WOODEN HAPPY EASTER,1.25,1974,GlobalTrade Co,0.9229339362580766,25.0,Lighting,GlobalTrade Co,Lighting
22242,5 HOOK HANGER MAGIC TOADSTOOL,1.65,563,PACIFIC IMPORTERS LLC,1.0626135118526774,25.0,LIGHTING,Pacific Importers,Lighting
22243,5 HOOK HANGER RED MAGIC TOADSTOOL,1.65,3088,,0.7080613207351617,37.0,Gifts,UNKNOWN,Gifts
22244,3 HOOK HANGER MAGIC GARDEN,1.95,1680,Acme Supplies Ltd,1.368969942911135,41.0,Gifts,Acme Supplies Ltd,Gifts
22245,"HOOK, 1 HANGER ,MAGIC GARDEN",0.85,1111,,0.4829665823987897,17.0,Home Decor,UNKNOWN,Home Decor
22246,MAGIC GARDEN FELT GARLAND,1.95,419,EuroParts GmbH,0.8269245411333478,26.0,Lighting,EuroParts GmbH,Lighting
22247,BUNNY DECORATION MAGIC GARDEN,0.85,670,Acme Supplies Ltd,0.5035408834110849,30.0,Home Decor,Acme Supplies Ltd,Home Decor
22248,DECORATION  PINK CHICK MAGIC GARDEN,0.85,574,GlobalTrade Co,0.4641063729952713,18.0,home decor,GlobalTrade Co,Home Decor
22249,DECORATION WHITE CHICK MAGIC GARDEN,0.85,940,EuroParts GmbH,0.6011304479466308,18.0,home decor,EuroParts GmbH,Home Decor
22250,DECORATION  BUTTERFLY  MAGIC GARDEN,0.85,817,Acme Supplies Ltd,0.4006883945737927,42.0,Unknown,Acme Supplies Ltd,Other
22251,BIRDHOUSE DECORATION MAGIC GARDEN,1.25,698,Pacific Importers,0.86157826665283,41.0,Gifts,Pacific Importers,Gifts
22252,BIRDCAGE DECORATION TEALIGHT HOLDER,1.25,644,GlobalTrade Co,0.7439888023936356,8.0,LIGHTING,GlobalTrade Co,Lighting
22254,FELT TOADSTOOL LARGE,1.25,657,PACIFIC IMPORTERS LLC,0.5238920076558927,4.0,LIGHTING,Pacific Importers,Lighting
22255,FELT TOADSTOOL  SMALL,0.85,629,Acme Supplies Ltd,0.6291239771443317,15.0,home decor,Acme Supplies Ltd,Home Decor
22256,FELT FARM ANIMAL CHICKEN,1.25,291,,0.72426916929515,11.0,Unknown,UNKNOWN,Other
22257,FELT FARM ANIMAL SHEEP,0.85,373,Unknown Vendor,0.4265358641338958,36.0,Lighting,UNKNOWN,Lighting
22258,FELT FARM ANIMAL RABBIT,1.25,905,Unknown Vendor,0.7053654933703004,19.0,Unknown,UNKNOWN,Other
22259,FELT FARM ANIMAL HEN,0.85,481,EuroParts GmbH,0.595212690596453,29.0,Unknown,EuroParts GmbH,Other
22260,FELT EGG COSY BLUE RABBIT,1.63,548,Acme Supplies Ltd,0.8259472324616787,31.0,Lighting,Acme Supplies Ltd,Lighting
22261,FELT EGG COSY WHITE RABBIT,0.85,581,EuroParts GmbH,0.3973212279547933,39.0,Home Decor,EuroParts GmbH,Home Decor
22262,FELT EGG COSY CHICKEN,0.85,1022,Acme Supplies Ltd,0.3783986959619372,24.0,Home Decor,Acme Supplies Ltd,Home Decor
22263,FELT EGG COSY LADYBIRD,0.85,278,Acme Supplies Ltd,0.4286131710210878,26.0,Gifts,Acme Supplies Ltd,Gifts
22264,FELT FARM ANIMAL WHITE BUNNY,0.85,1563,GlobalTrade Co,0.5720643058944129,9.0,LIGHTING,GlobalTrade Co,Lighting
22265,EASTER DECORATION NATURAL CHICK,0.65,540,Pacific Importers,0.367294998081922,36.0,Gifts,Pacific Importers,Gifts
22266,EASTER DECORATION HANGING BUNNY,0.65,1888,Euro Parts,0.3117520648402803,23.0,Lighting,EuroParts GmbH,Lighting
22267,EASTER DECORATION EGG BUNNY,1.25,836,EuroParts GmbH,0.5727059373292652,25.0,Lighting,EuroParts GmbH,Lighting
22268,EASTER DECORATION SITTING BUNNY,0.63,1875,Global Trade Co.,0.3253668495705386,17.0,Kitchen,GlobalTrade Co,Kitchen
22269,EGG CUP NATURAL CHICKEN,0.83,933,acme-supplies,0.6050480303232983,35.0,Kitchen,Acme Supplies Ltd,Kitchen
22270,HAPPY EASTER HANGING DECORATION,3.75,237,Unknown Vendor,1.950222560274407,15.0,Stationery,UNKNOWN,Stationery
22271,FELTCRAFT DOLL ROSIE,2.95,1655,Global Trade Co.,2.2002381084231613,25.0,LIGHTING,GlobalTrade Co,Lighting
22272,FELTCRAFT DOLL MARIA,2.95,85,Global Trade Co.,1.6810004455777303,40.0,home decor,GlobalTrade Co,Home Decor
22273,FELTCRAFT DOLL MOLLY,2.95,3067,ACME SUPPLIES,1.364986745634581,34.0,Gifts,Acme Supplies Ltd,Gifts
22274,FELTCRAFT DOLL EMILY,2.95,1340,Euro Parts,2.1001021447767987,37.0,Unknown,EuroParts GmbH,Other
22275,WEEKEND BAG VINTAGE ROSE PAISLEY,7.65,69,EuroParts GmbH,4.292601511568499,3.0,home decor,EuroParts GmbH,Home Decor
22276,WASH BAG VINTAGE ROSE PAISLEY,2.55,224,ACME SUPPLIES,1.653381674077788,7.0,Stationery,Acme Supplies Ltd,Stationery
22277,COSMETIC BAG VINTAGE ROSE PAISLEY,2.1,417,Acme Supplies Ltd,1.5630280136587265,15.0,home decor,Acme Supplies Ltd,Home Decor
22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,4.95,400,EuroParts GmbH,2.066928794429355,7.0,LIGHTING,EuroParts GmbH,Lighting
22279,POCKET BAG BLUE PAISLEY RED SPOT,1.25,833,PACIFIC IMPORTERS LLC,0.5423038699070606,34.0,LIGHTING,Pacific Importers,Lighting
22280,POCKET BAG PINK PAISELY BROWN SPOT,1.25,469,acme-supplies,0.8151998243899559,23.0,LIGHTING,Acme Supplies Ltd,Lighting
22281,EASTER TREE YELLOW BIRDS,5.95,132,Unknown Vendor,2.9669005693628208,26.0,Stationery,UNKNOWN,Stationery
22282,12 EGG HOUSE PAINTED WOOD,12.75,148,ACME SUPPLIES,5.922444983889817,20.0,Home Decor,Acme Supplies Ltd,Home Decor
22283,6 EGG HOUSE PAINTED WOOD,7.95,297,Global Trade Co.,3.289524430598397,23.0,Unknown,GlobalTrade Co,Other
22284,HEN HOUSE DECORATION,1.65,941,,0.6726164761720316,12.0,LIGHTING,UNKNOWN,Lighting
22285,"DECORATION HEN ON NEST, HANGING",1.65,871,Global Trade Co.,1.1072654358016791,26.0,Home Decor,GlobalTrade Co,Home Decor
22286,"DECORATION , WOBBLY RABBIT , METAL",1.65,1102,PACIFIC IMPORTERS LLC,0.7376353043059152,42.0,LIGHTING,Pacific Importers,Lighting
22287,"DECORATION , WOBBLY CHICKEN, METAL",1.65,784,GlobalTrade Co,0.9301086557233396,23.0,Kitchen,GlobalTrade Co,Kitchen
22288,HANGING METAL RABBIT DECORATION,1.25,475,acme-supplies,0.7650798566410238,27.0,Stationery,Acme Supplies Ltd,Stationery
22289,HANGING METAL CHICKEN DECORATION,1.25,152,Unknown Vendor,0.6874039127488702,25.0,home decor,UNKNOWN,Home Decor
22291,HANGING CHICK CREAM DECORATION,1.45,1293,Global Trade Co.,0.5937566260606383,24.0,Kitchen,GlobalTrade Co,Kitchen
22292,HANGING CHICK  YELLOW DECORATION,1.45,1139,,0.9776270125633636,6.0,Unknown,UNKNOWN,Other
22293,HANGING CHICK GREEN DECORATION,1.45,907,ACME SUPPLIES,0.5853354614548891,36.0,LIGHTING,Acme Supplies Ltd,Lighting
22294,HEART FILIGREE DOVE  SMALL,1.25,5500,ACME SUPPLIES,0.8333268287901494,8.0,Unknown,Acme Supplies Ltd,Other
22295,HEART FILIGREE DOVE LARGE,1.65,2795,Acme Supplies Ltd,1.1758833451626407,30.0,Gifts,Acme Supplies Ltd,Gifts
22296,HEART IVORY TRELLIS LARGE,1.65,3155,PACIFIC IMPORTERS LLC,0.9099650544105168,33.0,LIGHTING,Pacific Importers,Lighting
22297,HEART IVORY TRELLIS SMALL,1.25,4171,GlobalTrade Co,0.7342998319802868,37.0,Lighting,GlobalTrade Co,Lighting
22299,PIG KEYRING WITH LIGHT & SOUND,1.25,1327,,0.7086802342702235,41.0,Home Decor,UNKNOWN,Home Decor
22300,COFFEE MUG DOG + BALL DESIGN,2.55,1530,Global Trade Co.,1.367368692121419,44.0,Gifts,GlobalTrade Co,Gifts
22301,COFFEE MUG CAT + BIRD DESIGN,2.55,2204,Unknown Vendor,1.8120263978180464,25.0,home decor,UNKNOWN,Home Decor
22302,COFFEE MUG PEARS  DESIGN,2.55,2318,ACME SUPPLIES,1.8178356582729664,8.0,Gifts,Acme Supplies Ltd,Gifts
22303,COFFEE MUG APPLES DESIGN,2.55,2748,,1.3197161054425697,18.0,home decor,UNKNOWN,Home Decor
22304,COFFEE MUG BLUE PAISLEY DESIGN,2.55,767,Euro Parts,1.5689497554581178,4.0,Home Decor,EuroParts GmbH,Home Decor
22305,COFFEE MUG PINK PAISLEY DESIGN,2.55,692,Euro Parts,1.847264999215184,26.0,Home Decor,EuroParts GmbH,Home Decor
22306,SILVER MUG BONE CHINA TREE OF LIFE,1.06,1157,Euro Parts,0.7809237031072416,19.0,Unknown,EuroParts GmbH,Other
22307,GOLD MUG BONE CHINA TREE OF LIFE,1.06,731,EuroParts GmbH,0.6128238039965797,3.0,Unknown,EuroParts GmbH,Other
22308,TEA COSY BLUE STRIPE,4.96,250,PACIFIC IMPORTERS LLC,2.770103861973592,8.0,Stationery,Pacific Importers,Stationery
22309,TEA COSY RED  STRIPE,2.55,370,Acme Supplies Ltd,1.2687346769662091,7.0,Kitchen,Acme Supplies Ltd,Kitchen
22310,IVORY KNITTED MUG COSY,3.29,668,Acme Supplies Ltd,2.420140961978757,31.0,Unknown,Acme Supplies Ltd,Other
22311,OFFICE MUG WARMER BLACK+SILVER,2.95,1130,,1.3274557693682356,14.0,Gifts,UNKNOWN,Gifts
22312,OFFICE MUG WARMER POLKADOT,2.95,623,PACIFIC IMPORTERS LLC,1.7786740372692762,41.0,Stationery,Pacific Importers,Stationery
22313,OFFICE MUG WARMER PINK,2.95,315,Euro Parts,1.4717331512129948,5.0,home decor,EuroParts GmbH,Home Decor
22314,OFFICE MUG WARMER CHOC+BLUE,2.95,569,Pacific Importers,1.4680760597841,3.0,Stationery,Pacific Importers,Stationery
22315,200 RED + WHITE BENDY STRAWS,1.25,918,Acme Supplies Ltd,0.6771737569770825,29.0,Gifts,Acme Supplies Ltd,Gifts
22316,200 BENDY SKULL STRAWS,1.25,660,Acme Supplies Ltd,0.9369719094193488,26.0,Unknown,Acme Supplies Ltd,Other
22317,FIVE CATS HANGING DECORATION,2.95,287,EuroParts GmbH,1.2367527118121164,21.0,LIGHTING,EuroParts GmbH,Lighting
22318,FIVE HEART HANGING DECORATION,2.95,455,Global Trade Co.,1.7773444272951462,10.0,home decor,GlobalTrade Co,Home Decor
22319,HAIRCLIPS FORTIES FABRIC ASSORTED,0.65,1340,ACME SUPPLIES,0.2787851659530256,4.0,Gifts,Acme Supplies Ltd,Gifts
22320,BIRDS MOBILE VINTAGE DESIGN,5.95,180,Pacific Importers,2.701789628455256,32.0,Lighting,Pacific Importers,Lighting
22321,BIRD DECORATION RED RETROSPOT,1.63,916,Acme Supplies Ltd,0.9027706582814388,32.0,Unknown,Acme Supplies Ltd,Other
22322,BIRD DECORATION GREEN POLKADOT,0.85,808,Pacific Importers,0.4918618890755662,41.0,Kitchen,Pacific Importers,Kitchen
22323,PINK POLKADOT KIDS BAG,0.975,2,acme-supplies,0.4783129093543938,34.0,home decor,Acme Supplies Ltd,Home Decor
22324,BLUE POLKADOT KIDS BAG,4.13,286,Euro Parts,2.1094387826789687,3.0,Gifts,EuroParts GmbH,Gifts
22325,MOBILE VINTAGE HEARTS,4.95,237,GlobalTrade Co,2.130670362593404,40.0,Unknown,GlobalTrade Co,Other
22326,ROUND SNACK BOXES SET OF4 WOODLAND,2.95,8519,Global Trade Co.,1.493074426819189,15.0,Home Decor,GlobalTrade Co,Home Decor
22327,ROUND SNACK BOXES SET OF 4 SKULLS,2.95,1165,Acme Supplies Ltd,2.1779715886604123,13.0,Lighting,Acme Supplies Ltd,Lighting
22328,ROUND SNACK BOXES SET OF 4 FRUITS,2.95,6189,Acme Supplies Ltd,2.155410371576837,12.0,home decor,Acme Supplies Ltd,Home Decor
22329,ROUND CONTAINER SET OF 5 RETROSPOT,1.65,1587,GlobalTrade Co,0.8533922125541088,28.0,home decor,GlobalTrade Co,Home Decor
22331,WOODLAND PARTY BAG + STICKER SET,1.65,1838,Global Trade Co.,0.9896681482009848,22.0,Kitchen,GlobalTrade Co,Kitchen
22332,SKULLS PARTY BAG + STICKER SET,1.65,1009,PACIFIC IMPORTERS LLC,1.1852913383665704,19.0,Unknown,Pacific Importers,Other
22333,RETROSPOT PARTY BAG + STICKER SET,1.65,4412,GlobalTrade Co,0.6635711575751178,19.0,Home Decor,GlobalTrade Co,Home Decor
22334,DINOSAUR PARTY BAG + STICKER SET,1.65,707,EuroParts GmbH,1.128169761869959,6.0,Unknown,EuroParts GmbH,Other
22335,HEART DECORATION PAINTED ZINC,0.65,2386,,0.475754073259479,7.0,Home Decor,UNKNOWN,Home Decor
22336,DOVE DECORATION PAINTED ZINC,0.65,2175,Euro Parts,0.2807766045608842,25.0,Kitchen,EuroParts GmbH,Kitchen
22337,ANGEL DECORATION PAINTED ZINC,0.63,912,Acme Supplies Ltd,0.2875992147702591,12.0,Lighting,Acme Supplies Ltd,Lighting
22338,STAR DECORATION PAINTED ZINC,0.19,4662,Pacific Importers,0.1398896291342951,30.0,home decor,Pacific Importers,Home Decor
22339,CHRISTMAS TREE PAINTED ZINC,0.19,2377,Acme Supplies Ltd,0.111746419552083,35.0,Home Decor,Acme Supplies Ltd,Home Decor
22340,NOEL GARLAND PAINTED ZINC,0.83,1399,acme-supplies,0.3361241223140357,28.0,Stationery,Acme Supplies Ltd,Stationery
22341,LOVE GARLAND PAINTED ZINC,2.47,453,Unknown Vendor,1.210722862931071,31.0,Kitchen,UNKNOWN,Kitchen
22342,HOME GARLAND PAINTED ZINC,1.63,961,Acme Supplies Ltd,0.9086928661703844,29.0,Kitchen,Acme Supplies Ltd,Kitchen
22343,PARTY PIZZA DISH RED RETROSPOT,0.43,1959,Pacific Importers,0.2762827911092275,20.0,Gifts,Pacific Importers,Gifts
22344,PARTY PIZZA DISH PINK POLKADOT,0.43,1228,PACIFIC IMPORTERS LLC,0.2823406369095883,42.0,Lighting,Pacific Importers,Lighting
22345,PARTY PIZZA DISH BLUE POLKADOT,0.43,1102,EuroParts GmbH,0.3218109376952811,12.0,Stationery,EuroParts GmbH,Stationery
22346,PARTY PIZZA DISH GREEN POLKADOT,0.43,1037,Pacific Importers,0.2152704355072557,44.0,Stationery,Pacific Importers,Stationery
22348,TEA BAG PLATE RED RETROSPOT,0.85,4074,Acme Supplies Ltd,0.5001204803058714,7.0,Gifts,Acme Supplies Ltd,Gifts
22349,DOG BOWL CHASING BALL DESIGN,3.75,1355,GlobalTrade Co,2.199987156565731,12.0,Home Decor,GlobalTrade Co,Home Decor
22350,ILLUSTRATED CAT BOWL,2.55,1412,Pacific Importers,1.3820383940566594,23.0,Home Decor,Pacific Importers,Home Decor
22351,GIVEN AWAY,1.65,-1387,Acme Supplies Ltd,0.7576909936939976,26.0,LIGHTING,Acme Supplies Ltd,Lighting
22352,LUNCH BOX WITH CUTLERY RETROSPOT,2.55,3077,GlobalTrade Co,1.8923799826415797,40.0,LIGHTING,GlobalTrade Co,Lighting
22353,LUNCH BOX WITH CUTLERY FAIRY CAKES,2.55,94,Acme Supplies Ltd,1.7815855890999277,5.0,Stationery,Acme Supplies Ltd,Stationery
22354,RETROSPOT PADDED SEAT CUSHION,3.75,749,Acme Supplies Ltd,2.154062099636186,42.0,Lighting,Acme Supplies Ltd,Lighting
22355,CHARLOTTE BAG SUKI DESIGN,0.85,18003,GlobalTrade Co,0.5194655132484989,33.0,Home Decor,GlobalTrade Co,Home Decor
22356,CHARLOTTE BAG PINK POLKADOT,0.85,9455,Acme Supplies Ltd,0.4076101634339995,43.0,Kitchen,Acme Supplies Ltd,Kitchen
22357,KINGS CHOICE BISCUIT TIN,4.25,464,Pacific Importers,2.5088832672077235,39.0,Unknown,Pacific Importers,Other
22358,KINGS CHOICE TEA CADDY,2.95,692,EuroParts GmbH,1.897556662447924,4.0,Gifts,EuroParts GmbH,Gifts
22359,GLASS JAR KINGS CHOICE,2.95,186,Euro Parts,1.7119099568091531,4.0,Lighting,EuroParts GmbH,Lighting
22360,GLASS JAR ENGLISH CONFECTIONERY,2.95,914,ACME SUPPLIES,2.202469438628952,41.0,Home Decor,Acme Supplies Ltd,Home Decor
22361,GLASS JAR DAISY FRESH COTTON WOOL,5.79,721,ACME SUPPLIES,3.5548838663860174,44.0,Unknown,Acme Supplies Ltd,Other
22362,GLASS JAR PEACOCK BATH SALTS,2.95,381,Acme Supplies Ltd,1.563030358251415,36.0,Stationery,Acme Supplies Ltd,Stationery
22363,GLASS JAR MARMALADE,2.95,354,PACIFIC IMPORTERS LLC,1.977246968513353,44.0,Gifts,Pacific Importers,Gifts
22364,GLASS JAR DIGESTIVE BISCUITS,2.95,557,EuroParts GmbH,1.3560025432080456,22.0,Home Decor,EuroParts GmbH,Home Decor
22365,DOORMAT RESPECTABLE HOUSE,7.95,791,Acme Supplies Ltd,4.249915251637686,35.0,Stationery,Acme Supplies Ltd,Stationery
22366,DOORMAT AIRMAIL,7.95,776,,4.145413279425633,6.0,Home Decor,UNKNOWN,Home Decor
22367,CHILDRENS APRON SPACEBOY DESIGN,1.95,3722,Acme Supplies Ltd,1.074708342411058,13.0,Gifts,Acme Supplies Ltd,Gifts
22371,AIRLINE BAG VINTAGE TOKYO 78,4.25,1086,Pacific Importers,2.8628974910689804,44.0,Kitchen,Pacific Importers,Kitchen
22372,AIRLINE BAG VINTAGE WORLD CHAMPION,4.25,281,EuroParts GmbH,2.420207385343069,7.0,home decor,EuroParts GmbH,Home Decor
22374,AIRLINE BAG VINTAGE JET SET RED,4.25,551,,2.8810964947706195,27.0,Kitchen,UNKNOWN,Kitchen
22375,AIRLINE BAG VINTAGE JET SET BROWN,4.25,354,EuroParts GmbH,2.5575272434205507,39.0,home decor,EuroParts GmbH,Home Decor
